,rate_of_change,trend
0,2.217,5.809237746073494
1,2.616,5.0624240302413686
2,1.343,4.763622633673231
3,3.13,4.2534833920870145
4,1.646,4.070370390367003
5,4.198,3.400537989391946
6,2.471,5.463559951471193
7,3.205,4.64483450324431
8,1.671,4.635470989227128
9,4.197,3.7579140638396793
10,3.864,3.854063011866421
11,3.324,2.7775174419998443
